Date;Close
2023-07-14;4.76
2023-07-17;4.75
2023-07-18;4.75
2023-07-19;4.79
2023-07-20;4.80
2023-07-21;4.79
2023-07-24;4.81
2023-07-25;4.81
2023-07-26;4.79
2023-07-27;4.85
2023-07-28;4.87
2023-07-31;4.86
2023-08-02;4.82
2023-08-03;4.78
2023-08-04;4.80
2023-08-07;4.78
2023-08-08;4.76
2023-08-09;4.77
2023-08-10;4.79
2023-08-11;4.76
2023-08-14;4.77
2023-08-15;4.73
2023-08-16;4.72
2023-08-17;4.68
2023-08-18;4.66
2023-08-21;4.66
2023-08-22;4.69
2023-08-23;4.71
2023-08-24;4.71
2023-08-25;4.70
2023-08-28;4.74
2023-08-29;4.78
2023-08-30;4.79
2023-08-31;4.83
2023-09-01;4.84
2023-09-04;4.84
2023-09-05;4.85
2023-09-06;4.82
2023-09-07;4.81
2023-09-08;4.82
2023-09-11;4.83
2023-09-12;4.84
2023-09-13;4.84
2023-09-14;4.88
2023-09-15;4.88
2023-09-18;4.86
2023-09-19;4.85
2023-09-20;4.85
2023-09-21;4.82
2023-09-22;4.81
2023-09-25;4.78
2023-09-26;4.78
2023-09-27;4.79
2023-09-28;4.81
2023-09-29;4.81
2023-10-02;4.78
2023-10-03;4.75
2023-10-04;4.71
2023-10-05;4.70
2023-10-06;4.73
2023-10-09;4.74
2023-10-10;4.78
2023-10-11;4.79
2023-10-12;4.82
2023-10-13;4.81
2023-10-16;4.77
2023-10-17;4.78
2023-10-18;4.77
2023-10-19;4.68
2023-10-20;4.61
2023-10-23;4.62
2023-10-24;4.59
2023-10-25;4.60
2023-10-26;4.54
2023-10-27;4.55
2023-10-30;4.59
2023-10-31;4.57
2023-11-01;4.64
2023-11-02;4.69
2023-11-03;4.77
2023-11-06;4.78
2023-11-07;4.76
2023-11-08;4.78
2023-11-09;4.78
2023-11-10;4.78
2023-11-13;4.81
2023-11-14;4.82
2023-11-15;4.87
2023-11-16;4.86
2023-11-17;4.87
2023-11-20;4.86
2023-11-21;4.87
2023-11-22;4.88
2023-11-23;4.90
2023-11-24;4.89
2023-11-27;4.88
2023-11-28;4.87
2023-11-29;4.87
2023-11-30;4.85
2023-12-01;4.86
2023-12-04;4.87
2023-12-05;4.85
2023-12-06;4.87
2023-12-07;4.85
2023-12-08;4.87
2023-12-11;4.92
2023-12-12;4.94
2023-12-13;4.93
2023-12-14;5.00
2023-12-15;5.00
2023-12-18;4.99
2023-12-19;4.98
2023-12-20;4.99
2023-12-21;4.95
2023-12-22;4.93
2023-12-27;4.97
2023-12-28;4.91
2023-12-29;4.95
2024-01-03;4.91
2024-01-04;4.88
2024-01-05;4.87
2024-01-08;4.87
2024-01-09;4.91
2024-01-10;4.92
2024-01-11;4.96
2024-01-12;4.95
2024-01-15;4.97
2024-01-16;4.95
2024-01-17;4.93
2024-01-18;4.95
2024-01-19;5.02
2024-01-22;5.07
2024-01-23;5.06
2024-01-24;5.09
2024-01-25;5.06
2024-01-26;5.08
2024-01-29;5.08
2024-01-30;5.09
2024-01-31;5.10
2024-02-01;5.06
2024-02-02;5.08
2024-02-05;5.14
2024-02-06;5.15
2024-02-07;5.17
2024-02-08;5.22
2024-02-09;5.23
2024-02-12;5.24
2024-02-13;5.29
2024-02-14;5.26
2024-02-15;5.30
2024-02-16;5.32
2024-02-19;5.30
2024-02-20;5.31
2024-02-21;5.28
2024-02-22;5.32
2024-02-23;5.37
2024-02-26;5.37
2024-02-27;5.36
2024-02-28;5.36
2024-02-29;5.33
2024-03-01;5.43
2024-03-04;5.42
2024-03-05;5.43
2024-03-06;5.41
2024-03-07;5.40
2024-03-08;5.45
2024-03-11;5.40
2024-03-12;5.42
2024-03-13;5.46
2024-03-14;5.48
2024-03-15;5.48
2024-03-18;5.47
2024-03-19;5.49
2024-03-20;5.52
2024-03-21;5.59
2024-03-22;5.64
2024-03-25;5.62
2024-03-26;5.65
2024-03-27;5.67
2024-03-28;5.69
2024-04-02;5.70
2024-04-03;5.67
2024-04-04;5.69
2024-04-05;5.60
2024-04-08;5.64
2024-04-09;5.67
2024-04-10;5.67
2024-04-11;5.68
2024-04-12;5.69
2024-04-15;5.64
2024-04-16;5.53
2024-04-17;5.50
2024-04-18;5.49
2024-04-19;5.43
2024-04-22;5.48
2024-04-23;5.52
2024-04-24;5.60
2024-04-25;5.56
2024-04-26;5.59
2024-04-29;5.64
2024-04-30;5.64
2024-05-02;5.59
2024-05-03;5.61
2024-05-06;5.65
2024-05-07;5.70
2024-05-08;5.70
2024-05-10;5.76
2024-05-13;5.74
2024-05-14;5.76
2024-05-15;5.79
2024-05-16;5.85
2024-05-17;5.84
2024-05-21;5.88
2024-05-22;5.89
2024-05-23;5.90
2024-05-24;5.85
2024-05-27;5.89
2024-05-28;5.88
2024-05-29;5.86
2024-05-30;5.76
2024-05-31;5.75
2024-06-03;5.79
2024-06-04;5.72
2024-06-05;5.71
2024-06-06;5.76
2024-06-07;5.76
2024-06-10;5.76
2024-06-11;5.78
2024-06-12;5.78
2024-06-13;5.82
2024-06-14;5.79
2024-06-17;5.71
2024-06-18;5.79
2024-06-19;5.78
2024-06-20;5.79
2024-06-21;5.82
2024-06-24;5.81
2024-06-25;5.85
2024-06-26;5.85
2024-06-27;5.84
2024-06-28;5.86
2024-07-01;5.89
2024-07-02;5.89
2024-07-03;5.94
2024-07-04;5.97
2024-07-05;5.95
2024-07-08;5.91
2024-07-09;5.97
2024-07-10;5.94
2024-07-11;6.02
2024-07-12;5.98
2024-07-15;6.01
2024-07-16;6.00
2024-07-17;5.99
2024-07-18;5.91
2024-07-19;5.86
2024-07-22;5.82
2024-07-23;5.89
2024-07-24;5.85
2024-07-25;5.74
2024-07-26;5.68
2024-07-29;5.79
2024-07-30;5.81
2024-07-31;5.78
2024-08-02;5.59
2024-08-05;5.23
2024-08-06;5.35
2024-08-07;5.40
2024-08-08;5.38
2024-08-09;5.52
2024-08-12;5.52
2024-08-13;5.57
2024-08-14;5.60
2024-08-15;5.65
2024-08-16;5.78
2024-08-19;5.73
2024-08-20;5.78
2024-08-21;5.72
2024-08-22;5.72
2024-08-23;5.68
2024-08-26;5.73
2024-08-27;5.74
2024-08-28;5.70
2024-08-29;5.65
2024-08-30;5.71
2024-09-02;5.74
2024-09-03;5.74
2024-09-04;5.60
2024-09-05;5.57
2024-09-06;5.53
2024-09-09;5.51
2024-09-10;5.53
2024-09-11;5.51
2024-09-12;5.66
2024-09-13;5.67
2024-09-16;5.66
2024-09-17;5.68
2024-09-18;5.69
2024-09-19;5.74
2024-09-20;5.76
2024-09-23;5.79
2024-09-24;5.80
2024-09-25;5.78
2024-09-26;5.90
2024-09-27;5.84
2024-09-30;5.82
2024-10-01;5.84
2024-10-02;5.82
2024-10-03;5.86
2024-10-04;5.82
2024-10-07;5.91
2024-10-08;5.82
2024-10-09;5.86
2024-10-10;5.94
2024-10-11;5.89
2024-10-14;5.94
2024-10-15;5.99
2024-10-16;5.96
2024-10-17;6.00
2024-10-18;5.99
2024-10-21;5.98
2024-10-22;5.98
2024-10-23;5.99
2024-10-24;5.93
2024-10-25;5.93
2024-10-28;5.98
2024-10-29;5.98
2024-10-30;5.98
2024-10-31;5.92
2024-11-01;5.89
2024-11-04;5.89
2024-11-05;5.87
2024-11-06;6.05
2024-11-07;6.08
2024-11-08;6.12
2024-11-11;6.15
2024-11-12;6.17
2024-11-13;6.15
2024-11-14;6.16
2024-11-15;6.10
2024-11-18;6.08
2024-11-19;6.09
2024-11-20;6.10
2024-11-21;6.05
2024-11-22;6.12
2024-11-25;6.22
2024-11-26;6.17
2024-11-27;6.20
2024-11-28;6.17
2024-11-29;6.17
2024-12-02;6.21
2024-12-03;6.27
2024-12-04;6.26
2024-12-05;6.28
2024-12-06;6.24
2024-12-09;6.27
2024-12-10;6.22
2024-12-11;6.25
2024-12-12;6.27
2024-12-13;6.32
2024-12-16;6.30
2024-12-17;6.29
