Date;Close
17.05.2023;24.7
19.05.2023;24.75
22.05.2023;24.62
23.05.2023;24.75
24.05.2023;24.4
25.05.2023;24.25
26.05.2023;24.28
30.05.2023;24.33
31.05.2023;24.11
01.06.2023;24.53
02.06.2023;24.91
05.06.2023;24.81
06.06.2023;24.89
07.06.2023;24.9
08.06.2023;24.77
09.06.2023;24.75
12.06.2023;25.09
13.06.2023;25.35
14.06.2023;25.15
15.06.2023;25.16
16.06.2023;25.05
19.06.2023;24.95
20.06.2023;24.66
21.06.2023;24.43
22.06.2023;24.24
23.06.2023;23.82
26.06.2023;23.85
27.06.2023;24.01
28.06.2023;24.11
29.06.2023;24.14
30.06.2023;24.27
03.07.2023;24.75
04.07.2023;24.63
05.07.2023;24.33
06.07.2023;23.68
07.07.2023;23.94
10.07.2023;23.86
11.07.2023;23.96
12.07.2023;24.1
13.07.2023;24.19
14.07.2023;24.11
17.07.2023;24.17
18.07.2023;24.27
19.07.2023;24.35
20.07.2023;24.06
21.07.2023;24.02
24.07.2023;24.01
25.07.2023;24.16
26.07.2023;23.8
27.07.2023;23.76
28.07.2023;23.41
31.07.2023;23.73
02.08.2023;22.82
03.08.2023;22.81
04.08.2023;22.86
07.08.2023;22.46
08.08.2023;22.31
09.08.2023;22.49
10.08.2023;22.41
11.08.2023;22.07
14.08.2023;22.02
15.08.2023;21.61
16.08.2023;21.54
17.08.2023;21.18
18.08.2023;21.17
21.08.2023;20.97
22.08.2023;20.98
23.08.2023;21.22
24.08.2023;21.19
25.08.2023;21.3
28.08.2023;21.44
29.08.2023;21.77
30.08.2023;21.36
31.08.2023;21.53
01.09.2023;21.43
04.09.2023;21.42
05.09.2023;21.33
06.09.2023;21.05
07.09.2023;20.7
08.09.2023;20.72
11.09.2023;20.8
12.09.2023;20.78
13.09.2023;20.79
14.09.2023;21.11
15.09.2023;21.06
18.09.2023;20.83
19.09.2023;20.77
20.09.2023;20.85
21.09.2023;20.47
22.09.2023;20.57
25.09.2023;20.29
26.09.2023;20.13
27.09.2023;20.05
28.09.2023;19.75
29.09.2023;19.99
02.10.2023;19.47
03.10.2023;18.87
04.10.2023;18.52
05.10.2023;18.55
06.10.2023;18.51
09.10.2023;18.45
10.10.2023;19.14
11.10.2023;19.47
12.10.2023;19.25
13.10.2023;18.91
16.10.2023;18.81
17.10.2023;19.03
18.10.2023;18.48
19.10.2023;18.17
20.10.2023;17.42
23.10.2023;17.43
24.10.2023;17.79
25.10.2023;17.33
26.10.2023;17.6
27.10.2023;17.39
30.10.2023;17.18
31.10.2023;17.35
01.11.2023;17.14
02.11.2023;17.71
03.11.2023;18.14
06.11.2023;18.2
07.11.2023;17.86
08.11.2023;17.59
09.11.2023;17.72
10.11.2023;17.2
13.11.2023;17.23
14.11.2023;17.99
15.11.2023;18.54
16.11.2023;18.01
17.11.2023;18.02
20.11.2023;18.33
21.11.2023;18.03
22.11.2023;18.02
23.11.2023;18
24.11.2023;17.91
27.11.2023;17.77
28.11.2023;17.83
29.11.2023;17.96
30.11.2023;17.94
01.12.2023;17.98
04.12.2023;18.17
05.12.2023;18.1
06.12.2023;18.21
07.12.2023;18.17
08.12.2023;18.19
11.12.2023;17.99
12.12.2023;17.63
13.12.2023;17.7
14.12.2023;19.03
15.12.2023;19.25
18.12.2023;18.92
19.12.2023;19.13
20.12.2023;19.16
21.12.2023;19.13
22.12.2023;19.23
27.12.2023;19.17
28.12.2023;19.26
29.12.2023;19.23
03.01.2024;18.52
04.01.2024;18.49
05.01.2024;18.39
08.01.2024;18.31
09.01.2024;18.26
10.01.2024;18.16
11.01.2024;18.07
12.01.2024;18.11
15.01.2024;17.96
16.01.2024;17.69
17.01.2024;17.31
18.01.2024;17.4
19.01.2024;17.22
22.01.2024;17.49
23.01.2024;17.7
24.01.2024;17.76
25.01.2024;17.56
26.01.2024;17.5
29.01.2024;17.43
30.01.2024;17.34
31.01.2024;17.52
01.02.2024;17.3
02.02.2024;17.11
05.02.2024;16.95
06.02.2024;17.15
07.02.2024;17.61
08.02.2024;17.53
09.02.2024;17.59
12.02.2024;18.13
13.02.2024;17.86
14.02.2024;18
15.02.2024;18.19
16.02.2024;18.25
19.02.2024;18.09
20.02.2024;17.86
21.02.2024;17.79
22.02.2024;17.68
23.02.2024;17.46
26.02.2024;17.45
27.02.2024;17.55
28.02.2024;17.57
29.02.2024;17.75
01.03.2024;18.14
04.03.2024;17.97
05.03.2024;17.89
06.03.2024;18.09
07.03.2024;18.25
08.03.2024;18.33
11.03.2024;18.51
12.03.2024;18.26
13.03.2024;18.16
14.03.2024;18.03
15.03.2024;17.81
18.03.2024;18.07
19.03.2024;18.05
20.03.2024;18.17
21.03.2024;18.61
22.03.2024;18.53
25.03.2024;18.45
26.03.2024;18.46
27.03.2024;18.75
28.03.2024;18.76
02.04.2024;18.61
03.04.2024;18.46
04.04.2024;18.9
05.04.2024;18.27
08.04.2024;18.66
09.04.2024;18.76
10.04.2024;18.6
11.04.2024;18.54
12.04.2024;18.47
15.04.2024;18.18
16.04.2024;17.74
17.04.2024;17.78
18.04.2024;17.98
19.04.2024;17.74
22.04.2024;17.75
23.04.2024;18.04
24.04.2024;17.98
25.04.2024;17.76
26.04.2024;18.05
29.04.2024;18.43
30.04.2024;18.27
02.05.2024;18.43
03.05.2024;18.89
06.05.2024;19.01
07.05.2024;19.19
08.05.2024;19
10.05.2024;19.14
13.05.2024;19.24
14.05.2024;19.42
15.05.2024;19.56
16.05.2024;19.53
17.05.2024;19.51
21.05.2024;19.4
22.05.2024;20.02
23.05.2024;19.8
24.05.2024;20.11
27.05.2024;20.29
28.05.2024;20.32
29.05.2024;19.95
30.05.2024;20.03
31.05.2024;20.25
03.06.2024;20.38
04.06.2024;20
05.06.2024;20.09
06.06.2024;20.19
07.06.2024;19.86
10.06.2024;19.73
11.06.2024;19.75
12.06.2024;20.1
13.06.2024;19.91
14.06.2024;19.32
17.06.2024;18.99
18.06.2024;18.78
19.06.2024;18.87
20.06.2024;18.85
21.06.2024;18.61
24.06.2024;18.76
25.06.2024;18.6
26.06.2024;18.56
27.06.2024;18.3
28.06.2024;18.31
01.07.2024;18.19
02.07.2024;17.82
03.07.2024;18.03
04.07.2024;18.35
05.07.2024;18.41
08.07.2024;18.21
09.07.2024;18.34
10.07.2024;18.36
11.07.2024;18.71
12.07.2024;19.14
15.07.2024;18.84
16.07.2024;18.68
17.07.2024;18.36
18.07.2024;18.5
19.07.2024;18.36
22.07.2024;18.4
23.07.2024;18.31
24.07.2024;18.3
25.07.2024;18.26
26.07.2024;18.29
29.07.2024;18.38
30.07.2024;18.12
31.07.2024;18.18
02.08.2024;17.7
05.08.2024;16.59
06.08.2024;16.94
07.08.2024;17.4
08.08.2024;17.25
09.08.2024;17.47
12.08.2024;17.36
13.08.2024;17.29
14.08.2024;17.56
15.08.2024;17.66
16.08.2024;17.7
19.08.2024;17.75
20.08.2024;17.54
21.08.2024;17.32
22.08.2024;17.26
23.08.2024;17.55
26.08.2024;17.74
27.08.2024;17.77
28.08.2024;17.51
29.08.2024;17.35
30.08.2024;17.49
02.09.2024;17.7
03.09.2024;17.57
04.09.2024;17.35
05.09.2024;17.35
06.09.2024;17.2
09.09.2024;16.98
10.09.2024;16.83
11.09.2024;17.33
12.09.2024;17.56
13.09.2024;17.65
16.09.2024;17.63
17.09.2024;17.85
18.09.2024;17.82
19.09.2024;17.9
20.09.2024;17.73
23.09.2024;17.92
24.09.2024;18.09
25.09.2024;18.09
26.09.2024;18.37
27.09.2024;18.54
30.09.2024;18.8
01.10.2024;18.5
02.10.2024;18.38
03.10.2024;18.39
04.10.2024;18.47
07.10.2024;18.69
08.10.2024;18.51
09.10.2024;18.4
10.10.2024;18.23
11.10.2024;18.08
14.10.2024;18.22
15.10.2024;18.09
16.10.2024;17.93
17.10.2024;17.87
18.10.2024;18.13
21.10.2024;18.12
22.10.2024;17.88
23.10.2024;17.93
24.10.2024;17.65
25.10.2024;17.79
28.10.2024;17.98
29.10.2024;17.84
30.10.2024;17.64
31.10.2024;17.62
01.11.2024;18.03
04.11.2024;17.91
05.11.2024;17.98
06.11.2024;17.43
07.11.2024;17.32
08.11.2024;17.04
11.11.2024;17.26
12.11.2024;16.93
13.11.2024;17.07
14.11.2024;16.85
15.11.2024;17.2
18.11.2024;17
19.11.2024;16.86
20.11.2024;16.98
21.11.2024;17.08
22.11.2024;17.08
25.11.2024;17.39
26.11.2024;17.27
27.11.2024;17.39
28.11.2024;17.49
29.11.2024;17.47
02.12.2024;17.6
03.12.2024;17.44
04.12.2024;17.34
05.12.2024;16.88
06.12.2024;16.93
09.12.2024;17.09
10.12.2024;16.93
11.12.2024;17
12.12.2024;16.91
13.12.2024;16.9
16.12.2024;16.83
17.12.2024;16.83
18.12.2024;16.87
19.12.2024;16.48
20.12.2024;16.21
23.12.2024;16.55
27.12.2024;16.56
30.12.2024;16.74
03.01.2025;17.11
06.01.2025;17.32
07.01.2025;17.25
08.01.2025;16.94
09.01.2025;16.93
10.01.2025;16.9
13.01.2025;16.63
14.01.2025;16.78
15.01.2025;16.79
16.01.2025;16.83
17.01.2025;17.02
20.01.2025;17.14
21.01.2025;16.87
22.01.2025;16.75
23.01.2025;16.4
24.01.2025;16.66
27.01.2025;16.42
28.01.2025;16.41
29.01.2025;16.56
30.01.2025;16.49
31.01.2025;16.75
03.02.2025;16.38
04.02.2025;16.58
05.02.2025;16.65
06.02.2025;16.65
07.02.2025;16.9
10.02.2025;16.82
11.02.2025;16.56
12.02.2025;16.52
13.02.2025;16.51
14.02.2025;16.72
17.02.2025;16.63
18.02.2025;16.62
19.02.2025;16.95
20.02.2025;16.97
21.02.2025;17.07
24.02.2025;16.83
25.02.2025;16.63
26.02.2025;16.93
27.02.2025;16.8
28.02.2025;16.6
03.03.2025;16.47
04.03.2025;15.85
05.03.2025;16.13
06.03.2025;16.19
07.03.2025;16.13
10.03.2025;16.21
11.03.2025;16.39
12.03.2025;16.41
13.03.2025;16.26
14.03.2025;16.62
17.03.2025;16.38
18.03.2025;16.74
19.03.2025;16.65
20.03.2025;16.83
21.03.2025;16.38
24.03.2025;16.33
25.03.2025;16.37
26.03.2025;16.4
27.03.2025;16.18
28.03.2025;16.09
31.03.2025;15.76
01.04.2025;15.88
02.04.2025;15.98
03.04.2025;15.66
04.04.2025;14.54
07.04.2025;14.54
08.04.2025;14.47
09.04.2025;13.6
10.04.2025;14.3
11.04.2025;13.82
14.04.2025;14.56
15.04.2025;14.52
16.04.2025;14.32
17.04.2025;14.36
22.04.2025;14.33
23.04.2025;14.72
24.04.2025;14.62
25.04.2025;14.88
28.04.2025;14.99
29.04.2025;14.89
30.04.2025;14.51
02.05.2025;14.87
05.05.2025;14.81
06.05.2025;14.98
07.05.2025;14.83
08.05.2025;15.01
09.05.2025;15.38
12.05.2025;16.04
13.05.2025;16.45
14.05.2025;16.41
15.05.2025;16.38
16.05.2025;16.42
19.05.2025;16.67
20.05.2025;16.36
21.05.2025;16.25
22.05.2025;15.57
23.05.2025;15.74
26.05.2025;15.66
27.05.2025;15.69
28.05.2025;15.74
30.05.2025;15.73
02.06.2025;15.49
03.06.2025;15.65
04.06.2025;16.01
05.06.2025;15.76
06.06.2025;16.04
10.06.2025;16.22
11.06.2025;16.42
12.06.2025;16.4
13.06.2025;16.13
16.06.2025;16.39
17.06.2025;15.96
18.06.2025;15.96
19.06.2025;15.93
20.06.2025;15.84
23.06.2025;15.71
24.06.2025;15.94
25.06.2025;16.03
26.06.2025;16.09
27.06.2025;16.13
30.06.2025;16.32
01.07.2025;15.95
02.07.2025;16.21
03.07.2025;16.92
04.07.2025;16.81
07.07.2025;16.77
08.07.2025;16.6
09.07.2025;16.63
10.07.2025;16.84
11.07.2025;16.74
14.07.2025;16.54
15.07.2025;16.73
16.07.2025;16.81
17.07.2025;16.9
18.07.2025;17.02
21.07.2025;17.15
22.07.2025;17.19
23.07.2025;17.46
24.07.2025;17.48
25.07.2025;17.45
28.07.2025;17.67
29.07.2025;17.67
30.07.2025;17.31
31.07.2025;17.33
04.08.2025;17.08
05.08.2025;17.16
06.08.2025;17.13
07.08.2025;17.12
08.08.2025;17.23
11.08.2025;17.3
12.08.2025;16.95
13.08.2025;16.94
14.08.2025;16.77
15.08.2025;16.79
18.08.2025;17.7
19.08.2025;17.77
20.08.2025;17.64
21.08.2025;17.71
22.08.2025;17.57
25.08.2025;17.7
26.08.2025;17.64
27.08.2025;17.59
28.08.2025;17.69
29.08.2025;17.84
01.09.2025;17.68
02.09.2025;17.47
03.09.2025;17.58
04.09.2025;17.69
05.09.2025;17.82
08.09.2025;18.03
09.09.2025;17.96
10.09.2025;17.73
11.09.2025;17.85
12.09.2025;17.77
15.09.2025;17.86
16.09.2025;17.94
17.09.2025;18.03
18.09.2025;18.28
19.09.2025;18.2
22.09.2025;18.18
23.09.2025;18.44
24.09.2025;18.4
25.09.2025;18.51
26.09.2025;18.48
29.09.2025;18.71
30.09.2025;18.75
01.10.2025;18.61
02.10.2025;19.45
03.10.2025;19.5
06.10.2025;19.76
07.10.2025;19.67
08.10.2025;19.79
09.10.2025;20.01
10.10.2025;19.95
13.10.2025;19.98
14.10.2025;19.85
15.10.2025;20.25
16.10.2025;20.4
17.10.2025;19.79
20.10.2025;19.85
21.10.2025;20.07
22.10.2025;19.84
23.10.2025;19.95
24.10.2025;20.23
27.10.2025;20.24
28.10.2025;20.55
29.10.2025;20.98
30.10.2025;21.21
31.10.2025;20.89
03.11.2025;21.15
04.11.2025;21.07
05.11.2025;21.27
06.11.2025;21.7
07.11.2025;20.95
10.11.2025;21.54
11.11.2025;21.47
12.11.2025;21.43
13.11.2025;21.18
14.11.2025;20.14
17.11.2025;20.57
18.11.2025;20.1
19.11.2025;20.09
20.11.2025;20.33
21.11.2025;19.72
24.11.2025;19.75
25.11.2025;20.06
26.11.2025;20.29
27.11.2025;20.47
28.11.2025;20.52
01.12.2025;20.39
02.12.2025;20.4
03.12.2025;20.44
04.12.2025;20.39
05.12.2025;20.74
08.12.2025;20.86
09.12.2025;20.6
10.12.2025;20.42
11.12.2025;20.5
12.12.2025;20.5
15.12.2025;20.61
16.12.2025;20.19
17.12.2025;20.23
18.12.2025;20.15
19.12.2025;20.31
22.12.2025;20.19
23.12.2025;20.44
29.12.2025;20.36
30.12.2025;20.32
05.01.2026;20.93
06.01.2026;20.98
07.01.2026;20.89
08.01.2026;21.24
09.01.2026;21.12
12.01.2026;21.22
13.01.2026;21.58
14.01.2026;21.6
15.01.2026;21.79
16.01.2026;21.52
19.01.2026;21.55
20.01.2026;21.08
21.01.2026;21.16
22.01.2026;21.85
23.01.2026;22.08
26.01.2026;21.96
27.01.2026;21.87
28.01.2026;22.3
29.01.2026;22.08
30.01.2026;21.81
02.02.2026;21.91
03.02.2026;22.2
