Date;Close
01.04.2015;77.81
02.04.2015;77.77
07.04.2015;79.41
08.04.2015;79.15
09.04.2015;79.88
10.04.2015;80.5
13.04.2015;80.37
14.04.2015;79.96
15.04.2015;80.45
16.04.2015;79.41
17.04.2015;77.96
20.04.2015;78.5
21.04.2015;78.95
22.04.2015;79.66
23.04.2015;78.9
24.04.2015;79.55
27.04.2015;80.39
28.04.2015;79.76
29.04.2015;78.56
30.04.2015;78.19
04.05.2015;78.23
05.05.2015;76.81
06.05.2015;76.17
07.05.2015;76.14
08.05.2015;78.51
11.05.2015;79.17
12.05.2015;77.97
13.05.2015;77.7
15.05.2015;78.58
18.05.2015;78.86
19.05.2015;80.04
20.05.2015;80.27
21.05.2015;80.48
22.05.2015;80.55
26.05.2015;79.21
27.05.2015;80.36
28.05.2015;79.43
29.05.2015;78.86
01.06.2015;78.54
02.06.2015;78.39
03.06.2015;79.35
04.06.2015;78.74
05.06.2015;77.76
08.06.2015;77.04
09.06.2015;76.28
10.06.2015;77.63
11.06.2015;78.28
12.06.2015;76.84
15.06.2015;76.6
16.06.2015;76.43
17.06.2015;76.56
18.06.2015;76.25
19.06.2015;76.73
22.06.2015;78.36
23.06.2015;79.31
24.06.2015;79.09
25.06.2015;79.19
26.06.2015;78.6
29.06.2015;76.41
30.06.2015;75.99
01.07.2015;77.08
02.07.2015;76.91
03.07.2015;76.27
06.07.2015;75.48
07.07.2015;74.02
08.07.2015;74.61
09.07.2015;75.87
10.07.2015;77.4
13.07.2015;78.84
14.07.2015;78.71
15.07.2015;79.45
16.07.2015;80.32
17.07.2015;80.29
20.07.2015;80.87
21.07.2015;80.1
22.07.2015;79.93
23.07.2015;79.81
24.07.2015;78.95
27.07.2015;78.16
28.07.2015;78.96
29.07.2015;79.52
30.07.2015;79.58
31.07.2015;79.94
03.08.2015;80.58
04.08.2015;80.78
05.08.2015;81.87
06.08.2015;81.82
07.08.2015;81.33
10.08.2015;82.3
11.08.2015;81.43
12.08.2015;78.84
13.08.2015;80.11
14.08.2015;79.95
17.08.2015;79.88
18.08.2015;79.97
19.08.2015;78.15
20.08.2015;76.95
21.08.2015;75.03
24.08.2015;71.24
25.08.2015;73.25
26.08.2015;72.18
27.08.2015;74.74
28.08.2015;74.2
31.08.2015;74.56
01.09.2015;72.55
02.09.2015;73.52
03.09.2015;75.17
04.09.2015;72.97
07.09.2015;73.56
08.09.2015;75.03
09.09.2015;75.75
10.09.2015;75.34
11.09.2015;74.85
14.09.2015;74.15
15.09.2015;74.76
16.09.2015;75.29
17.09.2015;75.68
18.09.2015;74.15
21.09.2015;74.48
22.09.2015;71.74
23.09.2015;72.56
24.09.2015;70.62
25.09.2015;72.97
28.09.2015;71.34
29.09.2015;70.85
30.09.2015;72.35
01.10.2015;72.02
02.10.2015;72.48
05.10.2015;74.68
06.10.2015;74.96
07.10.2015;75.52
08.10.2015;75.17
09.10.2015;75.77
12.10.2015;75.24
13.10.2015;74.88
14.10.2015;74.02
15.10.2015;74.59
16.10.2015;74.87
19.10.2015;75.31
20.10.2015;75.08
21.10.2015;75.21
22.10.2015;76.6
23.10.2015;77.74
26.10.2015;77.78
27.10.2015;77.38
28.10.2015;78.31
29.10.2015;77.83
30.10.2015;77.97
02.11.2015;78.04
03.11.2015;78.24
04.11.2015;78.57
05.11.2015;78.32
06.11.2015;78.41
09.11.2015;77.75
10.11.2015;77.35
11.11.2015;77.82
12.11.2015;77.08
13.11.2015;76.41
16.11.2015;76.39
17.11.2015;78.35
18.11.2015;78.61
19.11.2015;79.22
20.11.2015;79.12
23.11.2015;79
24.11.2015;77.46
25.11.2015;79.16
26.11.2015;79.91
27.11.2015;80.01
30.11.2015;80.09
01.12.2015;80.31
02.12.2015;80.09
03.12.2015;77.67
04.12.2015;77.26
07.12.2015;77.36
08.12.2015;75.85
09.12.2015;75.9
10.12.2015;75.34
11.12.2015;73.67
14.12.2015;72.84
15.12.2015;74.5
16.12.2015;74.52
17.12.2015;75.4
18.12.2015;74.61
21.12.2015;74.62
22.12.2015;74.01
23.12.2015;75.9
28.12.2015;75.54
29.12.2015;76.4
30.12.2015;76.12
04.01.2016;74.01
05.01.2016;74.56
06.01.2016;73.33
07.01.2016;72.29
08.01.2016;71.12
11.01.2016;71.01
12.01.2016;71.56
13.01.2016;72.29
14.01.2016;71.23
15.01.2016;68.88
18.01.2016;69.07
19.01.2016;69.57
20.01.2016;67.06
21.01.2016;68.61
22.01.2016;71.03
25.01.2016;70.75
26.01.2016;71.57
27.01.2016;71.69
28.01.2016;71
29.01.2016;72.15
01.02.2016;72.36
02.02.2016;70.99
03.02.2016;70.24
04.02.2016;70.55
05.02.2016;69.31
08.02.2016;66.5
09.02.2016;64.66
10.02.2016;66.3
11.02.2016;64.46
12.02.2016;65.2
15.02.2016;68.04
16.02.2016;67.44
17.02.2016;69.64
18.02.2016;69.73
19.02.2016;68.6
22.02.2016;70.02
23.02.2016;68.74
24.02.2016;66.79
25.02.2016;68.26
26.02.2016;69.61
29.02.2016;69.07
01.03.2016;70.27
02.03.2016;70.64
03.03.2016;70.82
04.03.2016;71.77
07.03.2016;71.63
08.03.2016;70.81
09.03.2016;71.35
10.03.2016;70.98
11.03.2016;71.99
14.03.2016;72.43
15.03.2016;71.7
16.03.2016;71.68
17.03.2016;71.56
18.03.2016;71.8
21.03.2016;71.35
22.03.2016;71.02
23.03.2016;71.02
24.03.2016;70.41
29.03.2016;70.58
30.03.2016;71.76
31.03.2016;70.86
01.04.2016;70
