Date;Close
2022-07-28;71.34
2022-07-29;71.34
2022-08-02;72.20
2022-08-03;74.11
2022-08-04;74.11
2022-08-05;73.98
2022-08-08;73.98
2022-08-09;72.42
2022-08-10;73.40
2022-08-11;73.76
2022-08-12;74.19
2022-08-15;74.67
2022-08-16;75.35
2022-08-17;75.35
2022-08-18;75.20
2022-08-19;73.91
2022-08-22;72.68
2022-08-23;72.29
2022-08-24;72.99
2022-08-25;73.18
2022-08-26;71.83
2022-08-29;70.35
2022-08-30;70.35
2022-08-31;70.22
2022-09-01;68.75
2022-09-02;70.55
2022-09-05;69.11
2022-09-06;68.67
2022-09-07;68.33
2022-09-08;69.11
2022-09-09;69.50
2022-09-12;69.70
2022-09-13;69.70
2022-09-14;66.95
2022-09-15;66.95
2022-09-16;64.73
2022-09-19;65.22
2022-09-20;65.22
2022-09-21;65.08
2022-09-22;63.93
2022-09-23;62.75
2022-09-26;63.34
2022-09-27;63.34
2022-09-28;62.69
2022-09-29;61.61
2022-09-30;62.52
2022-10-03;62.99
2022-10-04;64.89
2022-10-05;64.13
2022-10-06;65.57
2022-10-07;63.11
2022-10-10;61.99
2022-10-11;61.12
2022-10-12;61.19
2022-10-13;61.51
2022-10-14;62.00
2022-10-17;62.72
2022-10-18;62.96
2022-10-19;63.62
2022-10-20;64.33
2022-10-21;63.59
2022-10-24;64.45
2022-10-25;65.82
2022-10-26;65.83
2022-10-27;64.45
2022-10-28;64.75
2022-10-31;65.13
2022-11-01;65.13
2022-11-02;64.70
2022-11-03;62.97
2022-11-04;62.03
2022-11-07;62.74
2022-11-08;64.04
2022-11-09;62.60
2022-11-10;64.76
2022-11-11;65.37
2022-11-14;65.07
2022-11-15;66.60
2022-11-16;65.22
2022-11-17;65.21
2022-11-18;65.09
2022-11-21;64.94
2022-11-22;65.04
2022-11-23;65.42
2022-11-24;65.87
2022-11-25;65.38
2022-11-28;64.84
2022-11-29;64.25
2022-11-30;64.68
2022-12-01;66.24
2022-12-02;65.64
2022-12-05;65.24
2022-12-06;63.62
2022-12-07;62.82
2022-12-08;63.50
2022-12-09;63.87
2022-12-12;63.71
2022-12-13;65.14
2022-12-14;64.91
2022-12-15;62.22
2022-12-16;61.74
2022-12-19;61.13
2022-12-20;60.58
2022-12-21;61.75
2022-12-22;60.43
2022-12-23;60.81
2022-12-27;60.83
2022-12-28;59.95
2022-12-29;60.89
2022-12-30;60.32
2023-01-03;61.95
2023-01-04;62.55
2023-01-05;62.10
2023-01-06;62.73
2023-01-09;64.21
2023-01-10;63.49
2023-01-11;64.88
2023-01-12;65.34
2023-01-13;65.29
2023-01-16;65.81
2023-01-17;65.22
2023-01-18;64.50
2023-01-19;63.64
2023-01-20;65.14
2023-01-23;67.29
2023-01-24;67.33
2023-01-25;66.12
2023-01-26;67.20
2023-01-27;68.29
2023-01-30;68.06
2023-01-31;67.57
2023-02-01;67.98
2023-02-02;71.77
2023-02-03;72.55
2023-02-06;71.30
2023-02-07;70.65
2023-02-08;70.70
2023-02-09;70.84
2023-02-10;69.71
2023-02-13;70.41
2023-02-14;70.46
2023-02-15;71.14
2023-02-16;71.11
2023-02-17;69.50
2023-02-20;69.49
2023-02-21;68.58
2023-02-22;68.49
2023-02-23;69.19
2023-02-24;68.74
2023-02-27;69.18
2023-02-28;68.82
2023-03-01;68.70
2023-03-02;68.99
2023-03-03;70.53
2023-03-06;71.36
2023-03-07;70.73
2023-03-08;70.61
2023-03-09;70.69
2023-03-10;68.09
2023-03-13;66.62
2023-03-14;68.23
2023-03-15;67.96
2023-03-16;69.37
2023-03-17;71.28
2023-03-20;70.63
2023-03-21;71.12
2023-03-22;71.96
2023-03-23;71.94
2023-03-24;71.07
2023-03-27;71.48
2023-03-28;71.34
2023-03-29;72.05
2023-03-30;72.84
2023-03-31;73.32
2023-04-03;73.41
2023-04-04;73.38
2023-04-05;72.11
2023-04-06;72.10
2023-04-11;72.22
2023-04-12;71.57
2023-04-13;71.34
2023-04-14;71.96
2023-04-17;72.33
2023-04-18;72.53
2023-04-19;72.09
2023-04-20;71.40
2023-04-21;70.97
2023-04-24;70.76
2023-04-25;69.77
2023-04-26;69.94
2023-04-27;71.06
2023-04-28;71.26
2023-05-02;71.16
2023-05-03;70.77
2023-05-04;69.94
2023-05-05;71.34
2023-05-08;71.33
2023-05-09;71.69
2023-05-10;72.20
2023-05-11;72.59
2023-05-12;72.41
2023-05-15;72.77
2023-05-16;73.16
2023-05-17;74.13
2023-05-19;76.20
2023-05-22;76.21
2023-05-23;76.57
2023-05-24;75.63
2023-05-25;78.00
2023-05-26;78.66
2023-05-30;81.51
2023-05-31;81.54
2023-06-01;81.17
2023-06-02;81.83
2023-06-05;82.47
2023-06-06;82.49
2023-06-07;82.33
2023-06-08;81.18
2023-06-09;81.36
2023-06-12;83.43
2023-06-13;84.65
2023-06-14;84.45
2023-06-15;85.20
2023-06-16;85.29
2023-06-19;84.90
2023-06-20;84.38
2023-06-21;82.99
2023-06-22;83.18
2023-06-23;83.53
2023-06-26;82.93
2023-06-27;82.27
2023-06-28;83.80
2023-06-29;83.78
2023-06-30;84.24
2023-07-03;84.96
2023-07-04;84.63
2023-07-05;84.41
2023-07-06;83.33
2023-07-07;83.59
2023-07-10;83.01
2023-07-11;83.14
2023-07-12;83.49
2023-07-13;83.34
2023-07-14;83.97
2023-07-17;83.76
2023-07-18;83.73
2023-07-19;85.50
2023-07-20;84.41
2023-07-21;83.75
2023-07-24;83.60
2023-07-25;83.77
2023-07-26;83.08
2023-07-27;84.92
2023-07-28;85.13
2023-07-31;85.41
2023-08-02;85.48
2023-08-03;83.91
2023-08-04;84.28
2023-08-07;83.84
2023-08-08;83.06
2023-08-09;82.47
2023-08-10;83.02
2023-08-11;82.24
2023-08-14;83.32
2023-08-15;83.34
2023-08-16;82.97
2023-08-17;81.57
2023-08-18;81.02
2023-08-21;81.69
2023-08-22;82.79
2023-08-23;83.59
2023-08-24;84.30
2023-08-25;82.59
2023-08-28;83.31
2023-08-29;84.71
2023-08-30;84.94
2023-08-31;86.53
2023-09-01;87.00
2023-09-04;87.20
2023-09-05;87.58
2023-09-06;87.45
2023-09-07;87.21
2023-09-08;87.58
2023-09-11;87.54
2023-09-12;87.45
2023-09-13;86.78
2023-09-14;87.95
2023-09-15;88.00
2023-09-18;86.66
2023-09-19;86.07
2023-09-20;86.59
2023-09-21;84.52
2023-09-22;85.21
2023-09-25;85.06
2023-09-26;84.69
2023-09-27;84.77
2023-09-28;84.97
2023-09-29;85.09
2023-10-02;85.85
2023-10-03;85.01
2023-10-04;84.82
2023-10-05;84.26
2023-10-06;85.38
2023-10-09;85.77
2023-10-10;86.45
2023-10-11;86.99
2023-10-12;87.84
2023-10-13;85.86
2023-10-16;86.40
2023-10-17;86.37
2023-10-18;85.39
2023-10-19;85.25
2023-10-20;83.92
2023-10-23;82.95
2023-10-24;83.35
2023-10-25;83.21
2023-10-26;80.92
2023-10-27;82.24
2023-10-30;82.63
2023-10-31;83.69
2023-11-01;85.36
2023-11-02;86.18
2023-11-03;86.59
2023-11-06;87.53
2023-11-07;89.38
2023-11-08;89.00
2023-11-09;89.46
2023-11-10;89.92
2023-11-13;90.07
2023-11-14;90.70
2023-11-15;91.18
2023-11-16;90.35
2023-11-17;91.22
2023-11-20;91.10
2023-11-21;92.22
2023-11-22;92.22
2023-11-23;92.11
2023-11-24;91.93
2023-11-27;91.62
2023-11-28;91.48
2023-11-29;92.10
2023-11-30;91.30
2023-12-01;91.89
2023-12-04;92.08
2023-12-05;90.96
2023-12-06;91.37
2023-12-07;91.55
2023-12-08;92.20
2023-12-11;93.20
2023-12-12;93.37
2023-12-13;93.78
2023-12-14;92.89
2023-12-15;93.98
2023-12-18;94.29
2023-12-19;93.93
2023-12-20;94.41
2023-12-21;93.42
2023-12-22;93.76
2023-12-27;94.50
2023-12-28;93.00
2023-12-29;93.69
2024-01-03;91.97
2024-01-04;90.92
2024-01-05;90.87
2024-01-08;90.99
2024-01-09;92.65
2024-01-10;93.73
2024-01-11;93.93
2024-01-12;94.80
2024-01-15;95.23
2024-01-16;94.94
2024-01-17;95.54
2024-01-18;96.14
2024-01-19;98.20
2024-01-22;100.43
2024-01-23;100.36
2024-01-24;101.18
2024-01-25;100.97
2024-01-26;100.89
2024-01-29;101.03
2024-01-30;101.92
2024-01-31;100.75
2024-02-01;99.98
2024-02-02;101.34
2024-02-05;103.21
2024-02-06;103.87
2024-02-07;103.66
2024-02-08;104.52
2024-02-09;105.59
2024-02-12;105.88
2024-02-13;105.43
2024-02-14;105.64
2024-02-15;106.87
2024-02-16;106.60
2024-02-19;105.14
2024-02-20;104.96
2024-02-21;101.79
2024-02-22;104.45
2024-02-23;105.66
2024-02-26;105.78
2024-02-27;106.06
2024-02-28;106.00
2024-02-29;104.95
2024-03-01;108.33
2024-03-04;109.46
2024-03-05;109.50
2024-03-06;109.21
2024-03-07;108.26
2024-03-08;109.95
2024-03-11;108.18
2024-03-12;108.88
2024-03-13;110.13
2024-03-14;110.25
2024-03-15;109.22
2024-03-18;108.22
2024-03-19;107.71
2024-03-20;109.55
2024-03-21;111.74
2024-03-22;113.26
2024-03-25;112.47
2024-03-26;113.41
2024-03-27;113.99
2024-03-28;112.78
2024-04-02;113.97
2024-04-03;113.11
2024-04-04;114.04
2024-04-05;111.42
2024-04-08;112.68
2024-04-09;112.49
2024-04-10;112.64
2024-04-11;112.34
2024-04-12;113.60
2024-04-15;112.16
2024-04-16;109.61
2024-04-17;108.83
2024-04-18;108.52
2024-04-19;106.93
2024-04-22;106.32
2024-04-23;106.93
2024-04-24;109.47
2024-04-25;106.84
2024-04-26;108.81
2024-04-29;109.31
2024-04-30;108.45
2024-05-02;106.84
2024-05-03;107.50
2024-05-06;109.05
2024-05-07;110.19
