Date;Close
01.04.2015;23.42
02.04.2015;23.5
07.04.2015;23.85
08.04.2015;24.39
09.04.2015;24.74
10.04.2015;24.94
13.04.2015;25.01
14.04.2015;24.64
15.04.2015;24.79
16.04.2015;24.75
17.04.2015;24.55
20.04.2015;24.31
21.04.2015;24.5
22.04.2015;24.86
23.04.2015;24.72
24.04.2015;24.89
27.04.2015;25.02
28.04.2015;24.96
29.04.2015;24.5
30.04.2015;24.16
04.05.2015;24.2
05.05.2015;23.93
06.05.2015;23.37
07.05.2015;23.23
08.05.2015;23.76
11.05.2015;23.85
12.05.2015;23.46
13.05.2015;23.42
15.05.2015;23.65
18.05.2015;23.57
19.05.2015;24.11
20.05.2015;24.07
21.05.2015;23.92
22.05.2015;24.24
26.05.2015;24.13
27.05.2015;24
28.05.2015;23.55
29.05.2015;23.48
01.06.2015;23.43
02.06.2015;23.15
03.06.2015;23.13
04.06.2015;22.84
05.06.2015;22.92
08.06.2015;22.64
09.06.2015;22.41
10.06.2015;22.56
11.06.2015;22.66
12.06.2015;22.42
15.06.2015;22.41
16.06.2015;22.28
17.06.2015;22.29
18.06.2015;22.35
19.06.2015;22.41
22.06.2015;22.53
23.06.2015;23.04
24.06.2015;23.09
25.06.2015;22.91
26.06.2015;22.74
29.06.2015;22.14
30.06.2015;22.43
01.07.2015;22.74
02.07.2015;22.81
03.07.2015;22.53
06.07.2015;22.24
07.07.2015;21.6
08.07.2015;21.35
09.07.2015;21.69
10.07.2015;21.78
13.07.2015;22.29
14.07.2015;22.16
15.07.2015;22.24
16.07.2015;22.46
17.07.2015;22.55
20.07.2015;22.45
21.07.2015;22.42
22.07.2015;22.27
23.07.2015;22.09
24.07.2015;21.61
27.07.2015;21.2
28.07.2015;21.41
29.07.2015;21.5
30.07.2015;21.42
31.07.2015;21.57
03.08.2015;21.38
04.08.2015;21.64
05.08.2015;21.91
06.08.2015;21.63
07.08.2015;21.67
10.08.2015;21.93
11.08.2015;21.43
12.08.2015;20.72
13.08.2015;20.97
14.08.2015;21.02
17.08.2015;20.71
18.08.2015;20.61
19.08.2015;20.14
20.08.2015;19.74
21.08.2015;19.16
24.08.2015;17.72
25.08.2015;18.79
26.08.2015;18.46
27.08.2015;19.68
28.08.2015;19.63
31.08.2015;19.59
01.09.2015;19.07
02.09.2015;19.18
03.09.2015;19.79
04.09.2015;19.07
07.09.2015;18.98
08.09.2015;19.48
09.09.2015;19.78
10.09.2015;19.64
11.09.2015;19.65
14.09.2015;19.59
15.09.2015;19.78
16.09.2015;20.13
17.09.2015;20.17
18.09.2015;19.91
21.09.2015;19.98
22.09.2015;19.49
23.09.2015;19.6
24.09.2015;18.89
25.09.2015;19.5
28.09.2015;18.97
29.09.2015;18.94
30.09.2015;19.48
01.10.2015;19.56
02.10.2015;19.6
05.10.2015;20.36
06.10.2015;20.23
07.10.2015;20.85
08.10.2015;20.66
09.10.2015;21.07
12.10.2015;20.78
13.10.2015;20.61
14.10.2015;20.38
15.10.2015;20.69
16.10.2015;20.71
19.10.2015;20.81
20.10.2015;20.75
21.10.2015;20.6
22.10.2015;21.16
23.10.2015;21.48
26.10.2015;21.39
27.10.2015;21.25
28.10.2015;21.39
29.10.2015;21.06
30.10.2015;20.99
02.11.2015;21.13
03.11.2015;21.5
04.11.2015;21.64
05.11.2015;21.57
06.11.2015;21.39
09.11.2015;21.14
10.11.2015;20.94
11.11.2015;20.98
12.11.2015;20.95
13.11.2015;20.56
16.11.2015;20.58
17.11.2015;21.05
18.11.2015;21.09
19.11.2015;21.35
20.11.2015;21.48
23.11.2015;21.61
24.11.2015;21.32
25.11.2015;21.52
26.11.2015;21.6
27.11.2015;21.33
30.11.2015;21.11
01.12.2015;21.34
02.12.2015;21.21
03.12.2015;20.55
04.12.2015;20.48
07.12.2015;20.26
08.12.2015;19.8
09.12.2015;19.82
10.12.2015;19.56
11.12.2015;18.91
14.12.2015;18.89
15.12.2015;19.6
16.12.2015;19.65
17.12.2015;19.95
18.12.2015;19.85
21.12.2015;19.84
22.12.2015;19.81
23.12.2015;20.26
28.12.2015;19.92
29.12.2015;20.14
30.12.2015;19.88
04.01.2016;19.4
05.01.2016;19.73
06.01.2016;19.38
07.01.2016;18.94
08.01.2016;18.44
11.01.2016;18.38
12.01.2016;18.51
13.01.2016;18.71
14.01.2016;18.5
15.01.2016;17.71
18.01.2016;17.94
19.01.2016;18.11
20.01.2016;17.43
21.01.2016;17.86
22.01.2016;18.42
25.01.2016;18.42
26.01.2016;18.46
27.01.2016;18.49
28.01.2016;18.56
29.01.2016;19.18
01.02.2016;19.06
02.02.2016;18.85
03.02.2016;18.42
04.02.2016;18.92
05.02.2016;18.56
08.02.2016;18.05
09.02.2016;17.5
10.02.2016;17.96
11.02.2016;17.39
12.02.2016;17.58
15.02.2016;18.22
16.02.2016;18.22
17.02.2016;18.73
18.02.2016;18.75
19.02.2016;18.52
22.02.2016;19.04
23.02.2016;18.69
24.02.2016;18.25
25.02.2016;18.43
26.02.2016;18.77
29.02.2016;18.78
01.03.2016;19.13
02.03.2016;19.52
03.03.2016;19.62
04.03.2016;20.07
07.03.2016;20.13
08.03.2016;19.69
09.03.2016;19.94
10.03.2016;19.74
11.03.2016;20.1
14.03.2016;20.06
15.03.2016;19.7
16.03.2016;19.76
17.03.2016;20.14
18.03.2016;20.32
21.03.2016;20.29
22.03.2016;20.35
23.03.2016;20.08
24.03.2016;19.98
29.03.2016;20.12
30.03.2016;20.45
31.03.2016;20.32
01.04.2016;20.1
04.04.2016;20.1
05.04.2016;19.64
06.04.2016;19.63
07.04.2016;19.49
08.04.2016;19.78
11.04.2016;19.92
12.04.2016;20.12
13.04.2016;20.72
14.04.2016;20.76
15.04.2016;20.69
18.04.2016;20.66
19.04.2016;20.91
20.04.2016;20.84
21.04.2016;20.95
22.04.2016;20.92
25.04.2016;20.66
26.04.2016;20.71
27.04.2016;20.69
28.04.2016;20.74
29.04.2016;20.33
02.05.2016;20.15
03.05.2016;19.69
04.05.2016;19.55
06.05.2016;19.65
09.05.2016;19.56
10.05.2016;19.86
11.05.2016;19.9
12.05.2016;19.7
13.05.2016;19.61
17.05.2016;19.73
18.05.2016;19.68
19.05.2016;19.48
20.05.2016;19.75
23.05.2016;19.8
24.05.2016;20.01
25.05.2016;20.17
26.05.2016;20.25
27.05.2016;20.37
30.05.2016;20.31
31.05.2016;20.35
01.06.2016;20.18
02.06.2016;20.31
03.06.2016;20.34
06.06.2016;20.5
07.06.2016;20.59
08.06.2016;20.56
09.06.2016;20.43
10.06.2016;20.06
13.06.2016;19.91
14.06.2016;19.55
15.06.2016;19.8
16.06.2016;19.51
17.06.2016;19.7
20.06.2016;20.13
21.06.2016;20.06
22.06.2016;20.31
23.06.2016;20.43
24.06.2016;19.94
27.06.2016;19.54
28.06.2016;20.12
29.06.2016;20.68
30.06.2016;20.7
01.07.2016;20.96
04.07.2016;20.9
05.07.2016;20.59
06.07.2016;20.37
07.07.2016;20.66
08.07.2016;20.98
11.07.2016;21.28
12.07.2016;21.53
13.07.2016;21.52
14.07.2016;21.74
15.07.2016;21.78
18.07.2016;21.79
19.07.2016;21.76
20.07.2016;21.93
21.07.2016;21.95
22.07.2016;21.96
25.07.2016;21.81
26.07.2016;22.02
27.07.2016;22.18
28.07.2016;21.99
29.07.2016;21.63
02.08.2016;21.63
03.08.2016;21.57
04.08.2016;21.79
05.08.2016;22.16
08.08.2016;22.46
09.08.2016;22.65
10.08.2016;22.52
11.08.2016;22.53
12.08.2016;22.58
15.08.2016;22.83
16.08.2016;22.43
17.08.2016;22.22
18.08.2016;22.37
19.08.2016;22.27
22.08.2016;22.14
23.08.2016;22.26
24.08.2016;22.16
25.08.2016;22.18
26.08.2016;22.43
29.08.2016;22.37
30.08.2016;22.49
31.08.2016;22.35
01.09.2016;22.24
02.09.2016;22.66
05.09.2016;22.86
06.09.2016;22.9
07.09.2016;22.83
08.09.2016;22.87
09.09.2016;22.52
12.09.2016;22.11
13.09.2016;21.94
14.09.2016;21.99
15.09.2016;22.08
16.09.2016;22.22
19.09.2016;22.51
20.09.2016;22.52
21.09.2016;22.61
22.09.2016;22.88
23.09.2016;22.83
26.09.2016;22.41
27.09.2016;22.48
28.09.2016;22.66
29.09.2016;22.65
30.09.2016;22.52
03.10.2016;22.62
04.10.2016;22.98
05.10.2016;22.86
06.10.2016;22.9
07.10.2016;22.91
10.10.2016;23.28
11.10.2016;22.82
12.10.2016;22.81
13.10.2016;22.4
14.10.2016;22.76
17.10.2016;22.66
18.10.2016;23.02
19.10.2016;23.14
20.10.2016;23.1
21.10.2016;23.15
24.10.2016;23.37
25.10.2016;23.33
26.10.2016;23.1
27.10.2016;22.92
28.10.2016;22.96
31.10.2016;22.85
01.11.2016;22.45
02.11.2016;21.97
03.11.2016;22.04
04.11.2016;21.72
07.11.2016;22.42
08.11.2016;22.42
09.11.2016;22.09
10.11.2016;21.56
11.11.2016;21.01
14.11.2016;21.29
15.11.2016;21.47
16.11.2016;21.6
17.11.2016;21.71
18.11.2016;21.7
21.11.2016;21.82
22.11.2016;22.1
23.11.2016;22.06
24.11.2016;22.09
25.11.2016;22.08
28.11.2016;22.22
29.11.2016;22.25
30.11.2016;22.45
01.12.2016;22.14
02.12.2016;22.07
05.12.2016;22.14
06.12.2016;22.2
07.12.2016;22.38
08.12.2016;22.75
09.12.2016;22.87
12.12.2016;22.63
13.12.2016;22.64
14.12.2016;22.57
